"compound","time.pt","unlabeled","labeled","sum","DMEM.conc","frac"
"1","lysine",0,167.69,178090.05,178257.74,800,0.00094071651531092
"2","lysine",0,368.36,197744.12,198112.48,800,0.00185934778061433
"3","lysine",0,250.14,196886.19,197136.33,800,0.00126886809752419
"4","lysine",4,786.41,210402.77,211189.18,800,0.00372372296724671
"5","lysine",4,769.13,163917.31,164686.44,800,0.00467026914905684
"6","lysine",4,530.41,166894.33,167424.74,800,0.00316805031323328
"7","lysine",8,1261.38,185064.17,186325.55,800,0.00676976399640307
"8","lysine",8,1522.46,164762.17,166284.63,800,0.00915574698635707
"9","lysine",8,1293.88,158708.45,160002.33,800,0.00808663223841803
"10","lysine",12,2538.76,159932.08,162470.84,800,0.0156259424768161
"11","lysine",12,2481.32,146822.19,149303.51,800,0.0166193011805282
"12","lysine",12,1937.9,158998.48,160936.38,800,0.0120414041871701
"13","threonine",0,287.9,430484,430771.9,800,0.000668335144423301
"14","threonine",0,473.78,488396.25,488870.03,800,0.000969132838844713
"15","threonine",0,235.38,469099.25,469334.63,800,0.000501518500776301
"16","threonine",4,1031.42,440008.62,441040.04,800,0.00233860853087171
"17","threonine",4,741.19,436750.34,437491.53,800,0.00169418137077991
"18","threonine",4,576.95,417538.78,418115.73,800,0.00137988111569015
"19","threonine",8,2101.48,463693.38,465794.86,800,0.00451159980597467
"20","threonine",8,1948.57,417244.84,419193.41,800,0.00464837937218526
"21","threonine",8,1637.04,395989.09,397626.13,800,0.00411703325432863
"22","threonine",12,2866.83,407970.47,410837.3,800,0.00697801781873262
"23","threonine",12,3609.44,380754,384363.44,800,0.0093906954313865
"24","threonine",12,3275.71,439699.84,442975.55,800,0.00739478736467509
"25","tyrosine",0,76.7,353086.75,353163.45,500,0.000217179892200056
"26","tyrosine",0,79.58,407587.66,407667.24,500,0.000195208229142965
"27","tyrosine",0,66.19,430554.84,430621.03,500,0.000153708238540974
"28","tyrosine",4,968.23,375642.47,376610.7,500,0.00257090411929348
"29","tyrosine",4,716.81,371305.25,372022.06,500,0.00192679434117428
"30","tyrosine",4,795.12,363588.12,364383.24,500,0.00218209816675432
"31","tyrosine",8,2077.93,385068,387145.93,500,0.0053673042617289
"32","tyrosine",8,1576.39,342683.59,344259.98,500,0.00457906841219244
"33","tyrosine",8,1580.58,322153.66,323734.24,500,0.00488233805605487
"34","tyrosine",12,3037.83,341373.66,344411.49,500,0.00882035033151769
"35","tyrosine",12,2362.89,337613.16,339976.05,500,0.00695016604846135
"36","tyrosine",12,3057.83,377941.34,380999.17,500,0.00802581800899986
